"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","platform_code"
"20803757","TER-ALV","Terminal Alvorada",,"-23.001281539713","-43.366142879812",,,"1",,,
"20059677","BRT-VEN","BRT Vendas de Varanda",,"-22.950882454514","-43.650797832707",,,"1",,,
"20049607","BRT-SVE","BRT Santa Veridiana",,"-22.940474305929","-43.66522200666",,,"1",,,
"20828474","BRT-ILG","BRT Ilha de Guaratiba",,"-23.009421188184","-43.539928353017",,,"1",,,
"20060844","BRT-CUF","BRT Curral Falso",,"-22.936522814946","-43.666964330339",,,"1",,,
"20962755","BRT-BEN","BRT Benvindo de Novaes ",,"-23.014409476063","-43.466961750554",,,"1",,,
"20958286","BRT-NBA","BRT Nova Barra",,"-23.015418894011","-43.470894874733",,,"1",,,
"20973160","BRT-GEL","BRT Gelson Fonseca",,"-23.009699927015","-43.448478648544",,,"1",,,
"20969189","BRT-GND","BRT Guignard",,"-23.010871686145","-43.453089365766",,,"1",,,
"20981990","BRT-BSU","BRT Pontões/Barrasul",,"-23.00520724106","-43.431170354066",,,"1",,,
"20995716","BRT-INT","BRT Interlagos",,"-23.000974702995","-43.418043623371",,,"1",,,
"20990195","BRT-PED","BRT Pedra de Itaúna",,"-23.003128004666","-43.424818883227",,,"1",,,
"20997860","BRT-RIO","BRT Riomar",,"-22.999886604243","-43.407491813285",,,"1",,,
"21004753","BRT-NLB","BRT Novo Leblon",,"-23.000363153962","-43.382802079724",,,"1",,,
"21001078","BRT-AMP","BRT Américas Park",,"-23.000401044865","-43.389110635219",,,"1",,,
"21006457","BRT-BSQ","BRT Bosque da Barra",,"-23.000288156753","-43.378159175997",,,"1",,,
"20825640","BRT-MTA","BRT Mato Alto",,"-22.993776469898","-43.596823742701",,,"1",,,
"35495861","PE.H.OTTE","Terminal Padre Henrique Otte",,"-22.901286134114","-43.20796765247",,,"1",,,
